Id,SalePrice
1461,160000
1462,140000
1463,185000
1464,190000
1465,278000
1466,185000
1467,175000
1468,185000
1469,140000
1470,133000
1471,151000
1472,112000
1473,119500
1474,148500
1475,148500
1476,611657
1477,198900
1478,242000
1479,241000
1480,386250
1481,250000
1482,230000
1483,190000
1484,190000
1485,163900
1486,190000
1487,280000
1488,181000
1489,224000
1490,198500
1491,230000
1492,110000
1493,165000
1494,290000
1495,290000
1496,151000
1497,151000
1498,151000
1499,151000
1500,147400
1501,176000
1502,148800
1503,252678
1504,250000
1505,250000
1506,185000
1507,176000
1508,134800
1509,154000
1510,155000
1511,85000
1512,140000
1513,187500
1514,118000
1515,190000
1516,140000
1517,149900
1518,140000
1519,198900
1520,139000
1521,139000
1522,140000
1523,135000
1524,115000
1525,140000
1526,145000
1527,134800
1528,105000
1529,140000
1530,163000
1531,118000
1532,161000
1533,130000
1534,139000
1535,119200
1536,144000
1537,112000
1538,175000
1539,475000
1540,135900
1541,140000
1542,140000
1543,163000
1544,100000
1545,110000
1546,134800
1547,119000
1548,135000
1549,120000
1550,145000
1551,115000
1552,155000
1553,161000
1554,134800
1555,190000
1556,85000
1557,85000
1558,91000
1559,85000
1560,133900
1561,129000
1562,149900
1563,140000
1564,256000
1565,154000
1566,260000
1567,145000
1568,277000
1569,134800
1570,140000
1571,105000
1572,141000
1573,324000
1574,185000
1575,275000
1576,214000
1577,224000
1578,127000
1579,140000
1580,185000
1581,125000
1582,140000
1583,255900
1584,230000
1585,140000
1586,86000
1587,93500
1588,215000
1589,145000
1590,108000
1591,115000
1592,110000
1593,129900
1594,129000
1595,100000
1596,157900
1597,135000
1598,158000
1599,275000
1600,106000
1601,60000
1602,135000
1603,109500
1604,275000
1605,230000
1606,178000
1607,171000
1608,174000
1609,224000
1610,185000
1611,135000
1612,191000
1613,181000
1614,143000
1615,119500
1616,80000
1617,80000
1618,144500
1619,124500
1620,147000
1621,110000
1622,133700
1623,260000
1624,175900
1625,140000
1626,140000
1627,185000
1628,230000
1629,163900
1630,151000
1631,175000
1632,278000
1633,178000
1634,185000
1635,185000
1636,176000
1637,165000
1638,214000
1639,165150
1640,202500
1641,185000
1642,241000
1643,214000
1644,250000
1645,250000
1646,185000
1647,162000
1648,140000
1649,108000
1650,140000
1651,110000
1652,100000
1653,106000
1654,155000
1655,148500
1656,148500
1657,155000
1658,151000
1659,148500
1660,145000
1661,242000
1662,395192
1663,394617
1664,325000
1665,394617
1666,325000
1667,235000
1668,200000
1669,264561
1670,394617
1671,220000
1672,386250
1673,230000
1674,230000
1675,185000
1676,196000
1677,230000
1678,386250
1679,315000
1680,190000
1681,394617
1682,260000
1683,230000
1684,190000
1685,190000
1686,215000
1687,163900
1688,190000
1689,190000
1690,190000
1691,185000
1692,219210
1693,163900
1694,178000
1695,179900
1696,214000
1697,163900
1698,290000
1699,280000
1700,271000
1701,315000
1702,227680
1703,242000
1704,220000
1705,190000
1706,385000
1707,227680
1708,230000
1709,285000
1710,250000
1711,250000
1712,501837
1713,239000
1714,250000
1715,230000
1716,140000
1717,159000
1718,84500
1719,250000
1720,268000
1721,159000
1722,159000
1723,141000
1724,252678
1725,230000
1726,225000
1727,179200
1728,213250
1729,125000
1730,139000
1731,140000
1732,135960
1733,140000
1734,140000
1735,155000
1736,75500
1737,185000
1738,310000
1739,151000
1740,190000
1741,176000
1742,177000
1743,160000
1744,161000
1745,167000
1746,277000
1747,162000
1748,200000
1749,140000
1750,157000
1751,159500
1752,145000
1753,156500
1754,185000
1755,135000
1756,194500
1757,110000
1758,169900
1759,139000
1760,140000
1761,121500
1762,200000
1763,140000
1764,128200
1765,167000
1766,193500
1767,150500
1768,135000
1769,234000
1770,128000
1771,145000
1772,145000
1773,154000
1774,64500
1775,157900
1776,140000
1777,110000
1778,110000
1779,158000
1780,105000
1781,135000
1782,110000
1783,110000
1784,160000
1785,178000
1786,144000
1787,105000
1788,39300
1789,110000
1790,100000
1791,200000
1792,135000
1793,140000
1794,174000
1795,128950
1796,165000
1797,119200
1798,135000
1799,105000
1800,143000
1801,106250
1802,145000
1803,140000
1804,135000
1805,135000
1806,161000
1807,106000
1808,117000
1809,155835
1810,140000
1811,93000
1812,98000
1813,161000
1814,140000
1815,86000
1816,378500
1817,140000
1818,67000
1819,155000
1820,100000
1821,125000
1822,105000
1823,60000
1824,140000
1825,139000
1826,110000
1827,110000
1828,100000
1829,123000
1830,131500
1831,135000
1832,129000
1833,163000
1834,207000
1835,140000
1836,137450
1837,148000
1838,122000
1839,110000
1840,179000
1841,150000
1842,135000
1843,139000
1844,175000
1845,178000
1846,145000
1847,118000
1848,93000
1849,141000
1850,127000
1851,80000
1852,149000
1853,118000
1854,147000
1855,212000
1856,225000
1857,124000
1858,142953
1859,118858
1860,176000
1861,118858
1862,320000
1863,320000
1864,320000
1865,402861
1866,230000
1867,256300
1868,325000
1869,230000
1870,174000
1871,230000
1872,230000
1873,260000
1874,147000
1875,260000
1876,185000
1877,230000
1878,259000
1879,157900
1880,140000
1881,385000
1882,230000
1883,230000
1884,230000
1885,215000
1886,255900
1887,210000
1888,220000
1889,190000
1890,207500
1891,140000
1892,112000
1893,140000
1894,118000
1895,158000
1896,135000
1897,110000
1898,91000
1899,189950
1900,135000
1901,93000
1902,140000
1903,244400
1904,154000
1905,268000
1906,155000
1907,155000
1908,124000
1909,124000
1910,124000
1911,178000
1912,170000
1913,145000
1914,89000
1915,275000
1916,60000
1917,271900
1918,108000
1919,100000
1920,181000
1921,402861
1922,451950
1923,149350
1924,260000
1925,190000
1926,451950
1927,135000
1928,135000
1929,112000
1930,129500
1931,147000
1932,110000
1933,144000
1934,135000
1935,185000
1936,185000
1937,221000
1938,147000
1939,212000
1940,278000
1941,185000
1942,185000
1943,277000
1944,278000
1945,394617
1946,141000
1947,385000
1948,141000
1949,260000
1950,260000
1951,294000
1952,228500
1953,170000
1954,178000
1955,162000
1956,160000
1957,157000
1958,230000
1959,140000
1960,135000
1961,128200
1962,100000
1963,106000
1964,119500
